,Unnamed: 0,Q out [vol/time],J in [vol/time],C [conc],Storage_vol,C [conc] --> Q out [vol/time]
180,1.8,1.0,1.0,0,0.1,7.246728789713244e-09
181,1.81,1.0,1.0,0,0.1,6.5571119333027296e-09
182,1.82,1.0,1.0,0,0.1,5.933120759663523e-09
183,1.83,1.0,1.0,0,0.1,5.3685101160662514e-09
184,1.84,1.0,1.0,0,0.1,4.857629235451064e-09
185,1.85,1.0,1.0,0,0.1,4.3953650780442546e-09
186,1.86,1.0,1.0,0,0.1,3.977091150075301e-09
187,1.87,1.0,1.0,0,0.1,3.5986211704679214e-09
188,1.88,1.0,1.0,0,0.1,3.2561673449568253e-09
189,1.89,1.0,1.0,0,0.1,2.9463023039405486e-09
190,1.9,1.0,1.0,0,0.1,2.6659247873371127e-09
191,1.91,1.0,1.0,0,0.1,2.4122287156200085e-09
192,1.92,1.0,1.0,0,0.1,2.1826749716488124e-09
193,1.93,1.0,1.0,0,0.1,1.9749661430946237e-09
194,1.94,1.0,1.0,0,0.1,1.7870234205486054e-09
195,1.95,1.0,1.0,0,0.1,1.6169657993433695e-09
196,1.96,1.0,1.0,0,0.1,1.4630912797758664e-09
197,1.97,1.0,1.0,0,0.1,1.3238598621908844e-09
198,1.98,1.0,1.0,0,0.1,1.1978780408656771e-09
199,1.99,1.0,1.0,0,0.1,1.083884963229177e-09
200,2.0,1.0,1.0,0,0.1,9.807397455635611e-10
201,2.01,1.0,1.0,0,0.1,8.874101117216274e-10
202,2.02,1.0,1.0,0,0.1,8.029619570300518e-10
203,2.03,1.0,1.0,0,0.1,7.265500594231391e-10
204,2.04,1.0,1.0,0,0.1,6.574097342661724e-10
205,2.05,1.0,1.0,0,0.1,5.948489887791382e-10
206,2.06,1.0,1.0,0,0.1,5.382416664093456e-10
207,2.07,1.0,1.0,0,0.1,4.870212203304441e-10
208,2.08,1.0,1.0,0,0.1,4.406750698085465e-10
209,2.09,1.0,1.0,0,0.1,3.9873934514642305e-10
210,2.1,1.0,1.0,0,0.1,3.6079431726524677e-10
211,2.11,1.0,1.0,0,0.1,3.2646026212370355e-10
212,2.12,1.0,1.0,0,0.1,2.9539351017427855e-10
213,2.13,1.0,1.0,0,0.1,2.672831249459418e-10
214,2.14,1.0,1.0,0,0.1,2.4184778516772773e-10
215,2.15,1.0,1.0,0,0.1,2.188329536999382e-10
216,2.16,1.0,1.0,0,0.1,1.980082592580979e-10
217,2.17,1.0,1.0,0,0.1,1.791653129742742e-10
218,2.18,1.0,1.0,0,0.1,1.6211549720282059e-10
219,2.19,1.0,1.0,0,0.1,1.4668818916348428e-10
220,2.2,1.0,1.0,0,0.1,1.3272896608079631e-10
221,2.21,1.0,1.0,0,0.1,1.2009815264223766e-10
222,2.22,1.0,1.0,0,0.1,1.0866933144897012e-10
223,2.23,1.0,1.0,0,0.1,9.832806625932e-11
224,2.24,1.0,1.0,0,0.1,8.897091203988496e-11
225,2.25,1.0,1.0,0,0.1,8.050418446831168e-11
226,2.26,1.0,1.0,0,0.1,7.284318277715554e-11
227,2.27,1.0,1.0,0,0.1,6.591124606428149e-11
228,2.28,1.0,1.0,0,0.1,5.963897613672369e-11
229,2.29,1.0,1.0,0,0.1,5.396361763614496e-11
230,2.3000000000000003,1.0,1.0,0,0.1,4.882830863827278e-11
231,2.31,1.0,1.0,0,0.1,4.4181673571111524e-11
232,2.32,1.0,1.0,0,0.1,3.9977231095978295e-11
233,2.33,1.0,1.0,0,0.1,3.6172885255268164e-11
234,2.34,1.0,1.0,0,0.1,3.273058315367804e-11
235,2.35,1.0,1.0,0,0.1,2.96158801208424e-11
236,2.36,1.0,1.0,0,0.1,2.6797532629545448e-11
237,2.37,1.0,1.0,0,0.1,2.4247424280850623e-11
238,2.38,1.0,1.0,0,0.1,2.1939992188854096e-11
239,2.39,1.0,1.0,0,0.1,1.985212521023782e-11
240,2.4,1.0,1.0,0,0.1,1.7962951151516805e-11
241,2.41,1.0,1.0,0,0.1,1.625354070955705e-11
242,2.42,1.0,1.0,0,0.1,1.4706805701128605e-11
243,2.43,1.0,1.0,0,0.1,1.3307258514576378e-11
244,2.44,1.0,1.0,0,0.1,1.2040891835655564e-11
245,2.45,1.0,1.0,0,0.1,1.0895049121508244e-11
246,2.46,1.0,1.0,0,0.1,9.858248815345909e-12
247,2.47,1.0,1.0,0,0.1,8.920128835296575e-12
248,2.48,1.0,1.0,0,0.1,8.071252285369689e-12
249,2.49,1.0,1.0,0,0.1,7.303172218467821e-12
250,2.5,1.0,1.0,0,0.1,6.608191088057499e-12
251,2.51,1.0,1.0,0,0.1,5.979379251886835e-12
252,2.52,1.0,1.0,0,0.1,5.410371431091611e-12
