Date	Precipitation total [mm]	Tritium [pCi/L]	Tritium +-	Sodium-22 [mBq/m3]	Sodium-22 +-	Sulfur-35 [mBq/L]	Sulfur-35 +-
4/23/2015	72.0	23.6	1.0			103.1	1.1
4/24/2015	72.0	23.6	1.0			103.1	1.1
4/25/2015	72.0	23.6	1.0			103.1	1.1
4/26/2015	72.0	23.6	1.0			103.1	1.1
4/27/2015	72.0	23.6	1.0			103.1	1.1
4/28/2015	72.0	23.6	1.0			103.1	1.1
4/29/2015	72.0	23.6	1.0			103.1	1.1
4/30/2015	72.0	23.6	1.0			103.1	1.1
5/1/2015	72.0	23.6	1.0			103.1	1.1
5/2/2015	72.0	23.6	1.0			103.1	1.1
5/3/2015	72.0	23.6	1.0			103.1	1.1
5/4/2015	72.0	23.6	1.0			103.1	1.1
5/5/2015	72.0	23.6	1.0			103.1	1.1
5/6/2015	72.0	23.6	1.0			103.1	1.1
5/7/2015	72.0	23.6	1.0			103.1	1.1
5/8/2015	44.0	35.0	1.5				
5/9/2015	44.0	35.0	1.5				
5/10/2015	44.0	35.0	1.5				
5/11/2015	44.0	35.0	1.5				
5/12/2015	44.0	35.0	1.5				
5/13/2015	44.0	35.0	1.5				
5/14/2015	44.0	35.0	1.5				
5/15/2015	44.0	35.0	1.5				
5/16/2015	44.0	35.0	1.5				
5/17/2015	44.0	35.0	1.5				
5/18/2015	44.0	35.0	1.5				
5/19/2015	44.0	35.0	1.5				
5/20/2015	44.0	35.0	1.5				
5/21/2015	44.0	35.0	1.5				
5/22/2015	44.0	35.0	1.5				
5/23/2015	44.0	35.0	1.5				
5/24/2015	44.0	35.0	1.5				
5/25/2015	44.0	35.0	1.5				
5/26/2015	44.0	35.0	1.5				
5/27/2015	44.0	35.0	1.5				
5/28/2015	44.0	35.0	1.5				
5/29/2015	44.0	35.0	1.5				
5/30/2015	44.0	35.0	1.5				
5/31/2015	44.0	35.0	1.5				
6/1/2015	44.0	35.0	1.5				
6/2/2015	44.0	35.0	1.5				
6/3/2015	44.0	35.0	1.5				
6/4/2015	44.0	35.0	1.5				
6/5/2015	44.0	35.0	1.5				
6/6/2015	44.0	35.0	1.5				
6/7/2015	44.0	35.0	1.5				
6/8/2015	44.0	35.0	1.5				
6/9/2015	44.0	35.0	1.5				
6/10/2015	44.0	35.0	1.5				
6/11/2015	44.0	35.0	1.5				
6/12/2015	44.0	35.0	1.5				
6/13/2015	44.0	35.0	1.5				
6/14/2015	44.0	35.0	1.5				
6/15/2015	44.0	35.0	1.5				
6/16/2015	44.0	35.0	1.5				
6/17/2015							
6/18/2015							
6/19/2015							
6/20/2015							
6/21/2015							
6/22/2015							
6/23/2015							
6/24/2015							
6/25/2015							
6/26/2015							
6/27/2015							
6/28/2015							
6/29/2015							
6/30/2015							
7/1/2015							
7/2/2015							
7/3/2015							
7/4/2015							
7/5/2015							
7/6/2015							
7/7/2015							
7/8/2015							
7/9/2015							
7/10/2015							
7/11/2015							
7/12/2015							
7/13/2015							
7/14/2015							
7/15/2015							
7/16/2015							
7/17/2015							
7/18/2015							
7/19/2015							
7/20/2015							
7/21/2015							
7/22/2015							
7/23/2015							
7/24/2015							
7/25/2015							
7/26/2015							
7/27/2015							
7/28/2015							
7/29/2015							
7/30/2015							
7/31/2015							
8/1/2015							
8/2/2015							
8/3/2015							
8/4/2015							
8/5/2015							
8/6/2015							
8/7/2015							
8/8/2015							
8/9/2015							
8/10/2015							
8/11/2015							
8/12/2015							
8/13/2015							
8/14/2015							
8/15/2015							
8/16/2015							
8/17/2015							
8/18/2015							
8/19/2015							
8/20/2015							
8/21/2015							
8/22/2015							
8/23/2015							
8/24/2015							
8/25/2015							
8/26/2015							
8/27/2015							
8/28/2015							
8/29/2015							
8/30/2015							
8/31/2015							
9/1/2015							
9/2/2015							
9/3/2015							
9/4/2015							
9/5/2015							
9/6/2015							
9/7/2015							
9/8/2015							
9/9/2015							
9/10/2015							
9/11/2015							
9/12/2015							
9/13/2015							
9/14/2015							
9/15/2015							
9/16/2015							
9/17/2015							
9/18/2015							
9/19/2015							
9/20/2015							
9/21/2015							
9/22/2015							
9/23/2015							
9/24/2015							
9/25/2015							
9/26/2015							
9/27/2015							
9/28/2015							
9/29/2015							
9/30/2015							
10/1/2015	17.0	17.5	0.7				
10/2/2015	17.0	17.5	0.7				
10/3/2015	17.0	17.5	0.7				
10/4/2015	17.0	17.5	0.7				
10/5/2015	17.0	17.5	0.7				
10/6/2015	17.0	17.5	0.7				
10/7/2015	17.0	17.5	0.7				
10/8/2015	17.0	17.5	0.7				
10/9/2015	17.0	17.5	0.7				
10/10/2015	17.0	17.5	0.7				
10/11/2015	17.0	17.5	0.7				
10/12/2015	17.0	17.5	0.7				
10/13/2015	17.0	17.5	0.7				
10/14/2015	17.0	17.5	0.7				
10/15/2015	17.0	17.5	0.7				
10/16/2015	17.0	17.5	0.7				
10/17/2015	17.0	17.5	0.7				
10/18/2015	17.0	17.5	0.7				
10/19/2015	17.0	17.5	0.7				
10/20/2015	17.0	17.5	0.7				
10/21/2015	68.0	11.8	0.7			17.2	0.4
10/22/2015	68.0	11.8	0.7			17.2	0.4
10/23/2015	68.0	11.8	0.7			17.2	0.4
10/24/2015	68.0	11.8	0.7			17.2	0.4
10/25/2015	68.0	11.8	0.7			17.2	0.4
10/26/2015	68.0	11.8	0.7			17.2	0.4
10/27/2015	68.0	11.8	0.7			17.2	0.4
10/28/2015	68.0	11.8	0.7			17.2	0.4
10/29/2015	68.0	11.8	0.7			17.2	0.4
10/30/2015	68.0	11.8	0.7			17.2	0.4
10/31/2015	68.0	11.8	0.7			17.2	0.4
11/1/2015	68.0	11.8	0.7			17.2	0.4
11/2/2015	68.0	11.8	0.7			17.2	0.4
11/3/2015	68.0	11.8	0.7			17.2	0.4
11/4/2015	68.0	11.8	0.7			17.2	0.4
11/5/2015	100.0	31.5	1.2			22.2	0.6
11/6/2015	100.0	31.5	1.2			22.2	0.6
11/7/2015	100.0	31.5	1.2			22.2	0.6
11/8/2015	100.0	31.5	1.2			22.2	0.6
11/9/2015	100.0	31.5	1.2			22.2	0.6
11/10/2015	100.0	31.5	1.2			22.2	0.6
11/11/2015	100.0	31.5	1.2			22.2	0.6
11/12/2015	100.0	31.5	1.2			22.2	0.6
11/13/2015	100.0	31.5	1.2			22.2	0.6
11/14/2015	100.0	31.5	1.2			22.2	0.6
11/15/2015	100.0	31.5	1.2			22.2	0.6
11/16/2015	100.0	31.5	1.2			22.2	0.6
11/17/2015	100.0	31.5	1.2			22.2	0.6
11/18/2015	100.0	31.5	1.2			22.2	0.6
11/19/2015	100.0	31.5	1.2			22.2	0.6
11/20/2015	100.0	31.5	1.2			22.2	0.6
11/21/2015	100.0	31.5	1.2			22.2	0.6
11/22/2015	100.0	31.5	1.2			22.2	0.6
11/23/2015	100.0	31.5	1.2			22.2	0.6
11/24/2015	100.0	31.5	1.2			22.2	0.6
11/25/2015	100.0	31.5	1.2			22.2	0.6
11/26/2015	100.0	31.5	1.2			22.2	0.6
11/27/2015	100.0	31.5	1.2			22.2	0.6
11/28/2015	100.0	31.5	1.2			22.2	0.6
11/29/2015	100.0	31.5	1.2			22.2	0.6
11/30/2015	100.0	31.5	1.2			22.2	0.6
12/1/2015	100.0	31.5	1.2			22.2	0.6
12/2/2015	100.0	31.5	1.2			22.2	0.6
12/3/2015	100.0	31.5	1.2			22.2	0.6
12/4/2015	188.0	7.8	0.4			12.3	0.7
12/5/2015	188.0	7.8	0.4			12.3	0.7
12/6/2015	188.0	7.8	0.4			12.3	0.7
12/7/2015	188.0	7.8	0.4			12.3	0.7
12/8/2015	188.0	7.8	0.4			12.3	0.7
12/9/2015	188.0	7.8	0.4			12.3	0.7
12/10/2015	188.0	7.8	0.4			12.3	0.7
12/11/2015	188.0	7.8	0.4			12.3	0.7
12/12/2015	188.0	7.8	0.4			12.3	0.7
12/13/2015	188.0	7.8	0.4			12.3	0.7
12/14/2015	188.0	7.8	0.4			12.3	0.7
12/15/2015	188.0	7.8	0.4			12.3	0.7
12/16/2015	188.0	7.8	0.4			12.3	0.7
12/17/2015	188.0	7.8	0.4			12.3	0.7
12/18/2015	188.0	7.8	0.4			12.3	0.7
12/19/2015	188.0	7.8	0.4			12.3	0.7
12/20/2015	188.0	7.8	0.4			12.3	0.7
12/21/2015	188.0	7.8	0.4			12.3	0.7
12/22/2015	188.0	7.8	0.4			12.3	0.7
12/23/2015	256.0	8.3	0.4	153.2	28.8	29.9	1.5
12/24/2015	256.0	8.3	0.4	153.2	28.8	29.9	1.5
12/25/2015	256.0	8.3	0.4	153.2	28.8	29.9	1.5
12/26/2015	256.0	8.3	0.4	153.2	28.8	29.9	1.5
12/27/2015	256.0	8.3	0.4	153.2	28.8	29.9	1.5
12/28/2015	256.0	8.3	0.4	153.2	28.8	29.9	1.5
12/29/2015	256.0	8.3	0.4	153.2	28.8	29.9	1.5
12/30/2015	256.0	8.3	0.4	153.2	28.8	29.9	1.5
12/31/2015	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/1/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/2/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/3/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/4/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/5/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/6/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
